FileName,ColumnName,TestCase,Result
DISTRIBUTOR,DISTIBUTOR_ID,"Compliance(DISTIBUTOR_ID contained in DIST-P59d,DIST-O41h,DIST-P56b,DIST-P43,DIST-P37j,DIST-P89,DIST-P31e,DIST-P40a,DIST-P37d,DIST-P67,DIST-O41f,DIST-O18,DIST-O16b,DIST-P66,DIST-P21a,DIST-I23c,DIST-O41e,DIST-P21c,DIST-P21b,DIST-P83,DIST-O32b,DIST-O41b,DIST-P21d,DIST-P15,DIST-I11b,DIST-P37b,DIST-P16,DIST-I23b,DIST-O10b,DIST-I11a,DIST-O17,DIST-P81e,DIST-P58c,DIST-I14a,DIST-P37g,DIST-O32a,DIST-P55b,DIST-P55c,DIST-P37h,DIST-P40c,DIST-I24,DIST-P56a,DIST-P63b,DIST-P37i,DIST-P58d,DIST-P63c,DIST-P57c,DIST-O51d,DIST-O12b,DIST-O13b,DIST-I13a,DIST-P32d,DIST-P21e,DIST-P84,DIST-P45,DIST-P82b,DIST-O41d,DIST-P41,DIST-P44,DIST-O15,DIST-P59a,DIST-O51b,DIST-P54,DIST-I13b,DIST-P14,DIST-P61a,DIST-O41j,DIST-P42,DIST-O10a,DIST-I14b,DIST-P65,DIST-O51c,DIST-P37f,DIST-P81g,DIST-P58f,DIST-P55f,DIST-P32c,DIST-O31b,DIST-P51b,DIST-P81c,DIST-I31,DIST-P34a,DIST-O14a,DIST-O11,DIST-P59c,DIST-P33,DIST-I22a,DIST-P85,DIST-P81b,DIST-P11,DIST-P37c,DIST-O16a,DIST-O31a,DIST-P59b,DIST-I22b,DIST-P59f,DIST-O14b,DIST-P36,DIST-P31f,DIST-I21a,DIST-I23a,DIST-O41a,DIST-P40d,DIST-P37a,DIST-P31d,DIST-P53,DIST-P82a,DIST-P58e,DIST-P40b,DIST-I21b,DIST-P81a,DIST-I25,DIST-P37e,DIST-O41l,DIST-P37k,DIST-O51a,DIST-P55d,DIST-P55e,DIST-O14c,DIST-P35,DIST-O13a,DIST-O12a,DIST-P51a,DIST-P34b,DIST-P59e,DIST-P61b,DIST-P57b,DIST-O41g,DIST-P57a,DIST-P63a,DIST-I12,DIST-P13,`DISTIBUTOR_ID` IS NULL OR `DISTIBUTOR_ID` IN ('DIST-P59d','DIST-O41h','DIST-P56b','DIST-P43','DIST-P37j','DIST-P89','DIST-P31e','DIST-P40a','DIST-P37d','DIST-P67','DIST-O41f','DIST-O18','DIST-O16b','DIST-P66','DIST-P21a','DIST-I23c','DIST-O41e','DIST-P21c','DIST-P21b','DIST-P83','DIST-O32b','DIST-O41b','DIST-P21d','DIST-P15','DIST-I11b','DIST-P37b','DIST-P16','DIST-I23b','DIST-O10b','DIST-I11a','DIST-O17','DIST-P81e','DIST-P58c','DIST-I14a','DIST-P37g','DIST-O32a','DIST-P55b','DIST-P55c','DIST-P37h','DIST-P40c','DIST-I24','DIST-P56a','DIST-P63b','DIST-P37i','DIST-P58d','DIST-P63c','DIST-P57c','DIST-O51d','DIST-O12b','DIST-O13b','DIST-I13a','DIST-P32d','DIST-P21e','DIST-P84','DIST-P45','DIST-P82b','DIST-O41d','DIST-P41','DIST-P44','DIST-O15','DIST-P59a','DIST-O51b','DIST-P54','DIST-I13b','DIST-P14','DIST-P61a','DIST-O41j','DIST-P42','DIST-O10a','DIST-I14b','DIST-P65','DIST-O51c','DIST-P37f','DIST-P81g','DIST-P58f','DIST-P55f','DIST-P32c','DIST-O31b','DIST-P51b','DIST-P81c','DIST-I31','DIST-P34a','DIST-O14a','DIST-O11','DIST-P59c','DIST-P33','DIST-I22a','DIST-P85','DIST-P81b','DIST-P11','DIST-P37c','DIST-O16a','DIST-O31a','DIST-P59b','DIST-I22b','DIST-P59f','DIST-O14b','DIST-P36','DIST-P31f','DIST-I21a','DIST-I23a','DIST-O41a','DIST-P40d','DIST-P37a','DIST-P31d','DIST-P53','DIST-P82a','DIST-P58e','DIST-P40b','DIST-I21b','DIST-P81a','DIST-I25','DIST-P37e','DIST-O41l','DIST-P37k','DIST-O51a','DIST-P55d','DIST-P55e','DIST-O14c','DIST-P35','DIST-O13a','DIST-O12a','DIST-P51a','DIST-P34b','DIST-P59e','DIST-P61b','DIST-P57b','DIST-O41g','DIST-P57a','DIST-P63a','DIST-I12','DIST-P13'),None)",Failure
DISTRIBUTOR,DISTIBUTOR_ID,"Completeness(DISTIBUTOR_ID,None)",Failure
DISTRIBUTOR,STATE,"Compliance(STATE contained in PARIS,INDIA,OKLAHOMA,`STATE` IS NULL OR `STATE` IN ('PARIS','INDIA','OKLAHOMA'),None)",Failure
DISTRIBUTOR,STATE,"Completeness(STATE,None)",Failure
DISTRIBUTOR,STATE,"Compliance(STATE should be UpperCase,COALESCE(STATE, '') == COALESCE(UPPER(STATE), ''),None)",Failure
DISTRIBUTOR,STATE,"Compliance(STATE should be Trimmed,COALESCE(STATE, '') == COALESCE(TRIM(STATE), ''),None)",Failure
DISTRIBUTOR,GENDER,"Compliance(GENDER contained in M,F,`GENDER` IS NULL OR `GENDER` IN ('M','F'),None)",Failure
DISTRIBUTOR,GENDER,"Completeness(GENDER,None)",Failure
DISTRIBUTOR,STATE,"Compliance(STATE should be UpperCase,COALESCE(GENDER, '') == COALESCE(UPPER(GENDER), ''),None)",Failure
DISTRIBUTOR,STATE,"Compliance(STATE should be Trimmed,COALESCE(GENDER, '') == COALESCE(TRIM(GENDER), ''),None)",Failure
DISTRIBUTOR,AGE,"Compliance(AGE should be between 0 and 100,AGE BETWEEN 0 AND 100,None)",Failure
DISTRIBUTOR,AGE,"Compliance(AGE is non-negative,COALESCE(CAST(AGE AS DECIMAL(20,10)), 0.0) >= 0,None)",Failure
DISTRIBUTOR,AGE,"Completeness(AGE,None)",Failure
DISTRIBUTOR,AGE,"Compliance(AGE should be Trimmed,COALESCE(AGE, '') == COALESCE(TRIM(AGE), ''),None)",Failure
DISTRIBUTOR,SALARY,"Completeness(SALARY,None)",Failure
DISTRIBUTOR,SALARY,"Compliance(SALARY is non-negative,COALESCE(CAST(SALARY AS DECIMAL(20,10)), 0.0) >= 0,None)",Failure
DISTRIBUTOR,SALARY,"Compliance(SALARY should be zero when age < 15,SALARY == 0.0,Some(AGE < 15))",Failure
